patent_id,patent_title,patent_type,patent_date,inventor_count
9971713,Multi-petascale highly efficient parallel supercomputer,utility,2018-05-15,60
9974903,System and method for providing alerts optimized for a user,utility,2018-05-22,36
9867493,Method and apparatus for cartridge-based carbonation of beverages,utility,2018-01-16,33
9868721,Triazole agonists of the APJ receptor,utility,2018-01-16,32
RE43532,Hospital bed,reissue,2012-07-24,31
9988505,Polyethylene compositions and films formed therefrom,utility,2018-06-05,29
9981955,Antiviral compounds,utility,2018-05-29,29
9914921,Secreted proteins,utility,2018-03-13,28
RE43298,Peptides as NS3-serine protease inhibitors of hepatitis C virus,reissue,2012-04-03,28
9890158,"N-sulfonylated pyrazolo[3,4-b]pyridin-6-carboxamides and method of use",utility,2018-02-13,28
9913647,Disposable loading unit for use with a surgical instrument,utility,2018-03-13,28
9907147,Methods and apparatus for information management and control of outdoor lighting networks,utility,2018-02-27,27
9936834,Method and apparatus for cartridge-based carbonation of beverages,utility,2018-04-10,27
9911670,"Integrated circuit including NCEM-enabled, via-open/resistance-configured fill cells, with NCEM pads formed from at least three conductive stripes positioned between adjacent gate",utility,2018-03-06,26
9953889,"Process for making semiconductor dies, chips, and wafers using non-contact measurements obtained from DOEs of NCEM-enabled fill cells on test wafers that include multiple means/steps for enabling NC detection of GATECNT-GATE via opens",utility,2018-04-24,26
9979427,Privacy and security systems and methods of use,utility,2018-05-22,26
9947601,"Integrated circuit including NCEM-enabled, side-to-side gap-configured fill cells, with NCEM pads formed from at least three conductive stripes positioned between adjacent gates",utility,2018-04-17,26
9911669,"Integrated circuit including NCEM-enabled, diagonal gap-configured fill cells, with NCEM pads formed from at least three conductive stripes positioned between adjacent gates",utility,2018-03-06,26
9870966,"Process for making semiconductor dies, chips and wafers using non-contact measurements obtained from DOEs of NCEM-enabled fill cells on test wafers that include multiple means/steps for enabling NC detection of AACNT-TS via opens",utility,2018-01-16,26
9871028,"Process for making and using a semiconductor wafer containing first and second DOEs of standard cell compatible, NCEM-enabled fill cells, with the first DOE including tip-to-tip short configured fill cells, and the second DOE including chamfer short configured fill cells",utility,2018-01-16,26
9905553,"Integrated circuit containing standard logic cells and library-compatible, NCEM-enabled fill cells, including at least via-open-configured, AACNT-short-configured, GATECNT-short-configured, and metal-short-configured, NCEM-enabled fill cells",utility,2018-02-27,26
9984944,"Integrated circuit containing DOEs of GATECNT-tip-to-side-short-configured, NCEM-enabled fill cells",utility,2018-05-29,26
9870962,"Integrated circuit including NCEM-enabled, interlayer overlap-configured fill cells, with NCEM pads formed from at least three conductive stripes positioned between adjacent gates",utility,2018-01-16,26
9865583,"Process for making and using a semiconductor wafer containing first and second DOEs of standard cell compatible, NCEM-enabled fill cells, with the first DOE including snake open configured fill cells, and the second DOE including stitch open configured fill cells",utility,2018-01-09,26
9911649,Process for making and using mesh-style NCEM pads,utility,2018-03-06,26
9911668,"Integrated circuit including NCEM-enabled, corner gap-configured fill cells, with NCEM pads formed from at least three conductive stripes positioned between adjacent gates",utility,2018-03-06,26
9929136,"Process for making and using a semiconductor wafer containing first and second DOEs of standard cell compatible, NCEM-Enabled fill cells, with the first DOE including tip-to-side short configured fill cells, and the second DOE including chamfer short configured fill cells",utility,2018-03-27,26
9899276,"Process for making an integrated circuit that includes NCEM-enabled, interlayer overlap-configured fill cells, with NCEM pads formed from at least three conductive stripes positioned between adjacent gates",utility,2018-02-20,26
9922968,"Process for making and using a semiconductor wafer containing first and second DOEs of standard cell compatible, NCEM-enabled fill cells, with the first DOE including side-to-side short configured fill cells, and the second DOE including chamfer short configured fill cells",utility,2018-03-20,26
9929063,"Process for making an integrated circuit that includes NCEM-Enabled, tip-to-side gap-configured fill cells, with NCEM pads formed from at least three conductive stripes positioned between adjacent gates",utility,2018-03-27,26
9881843,"Integrated circuit including NCEM-Enabled, tip-to-tip gap-configured fill cells, with NCEM pads formed from at least three conductive stripes positioned between adjacent gates",utility,2018-01-30,26
9905487,"Process for making semiconductor dies, chips, and wafers using non-contact measurements obtained from DOEs of NCEM-enabled fill cells on test wafers that include multiple means/steps for enabling NC detection of V0 via opens",utility,2018-02-27,26
9922890,"Integrated circuit including NCEM-enabled, snake-configured fill cells, with NCEM pads formed from at least three conductive stripes positioned between adjacent gates",utility,2018-03-20,26
9995494,Air conditioner and method for controlling the same,utility,2018-06-12,25
9952759,"Touch screen device, method, and graphical user interface for customizing display of content category icons",utility,2018-04-24,25
9963512,"Dual-target antibody targeting VEGFR-2 and DLL4, and pharmaceutical composition including same",utility,2018-05-08,25
9983526,Fixing device and image forming apparatus including same,utility,2018-05-29,25
9970059,Survival predictor for diffuse large B cell lymphoma,utility,2018-05-15,24
9879022,Bicyclic-fused heteroaryl or aryl compounds,utility,2018-01-30,24
PP12426,Mint plant named &#8216;Kosi&#8217;,plant,2002-02-26,24
9921661,Optical proximity sensor and associated user interface,utility,2018-03-20,23
PP10935,Mini plant Mentha arvensis `Himalaya`,plant,1999-06-01,23
9992292,Wellness support groups for mobile devices,utility,2018-06-05,22
9859541,Rechargeable lithium battery and method of fabricating same,utility,2018-01-02,22
9903896,Method for testing dynamic model parameters of wind power plant,utility,2018-02-27,22
9938281,Purine inhibitors of human phosphatidylinositol 3-kinase delta,utility,2018-04-10,22
9919723,Aerial camera system and method for determining size parameters of vehicle systems,utility,2018-03-20,22
9988369,Heterocyclic triazole compounds as agonists of the APJ receptor,utility,2018-06-05,22
9963448,Bicyclic inhibitors of PAD4,utility,2018-05-08,21
9938356,Binding molecules specific for CD73 and uses thereof,utility,2018-04-10,21
