inventor_id,inventor_name,country,patent_count
fl:mo_ln:olesen-4,Mogens Nyegaard Olesen,DK,701
fl:ha_ln:hansen-6,Hans A Hansen,US,573
fl:co_ln:vandenberg-7,Cornelis P. VandenBerg,US,434
fl:ni_ln:klemm-1,Nils Klemm,DE,419
fl:ga_ln:zaiger-1,Gary Neil Zaiger,US,395
fl:gr_ln:zaiger-1,Grant Gene Zaiger,US,391
fl:le_ln:gardner-3,Leith Marie Gardner,US,374
fl:to_ln:dummen-1,Tobias Dümmen,DE,369
fl:sc_ln:trees-2,Scott C. Trees,US,351
fl:we_ln:bergman-1,Wendy R. Bergman,US,312
fl:lo_ln:bradford-3,Lowell Glen Bradford,US,286
fl:al_ln:meilland-2,Alain A. Meilland,FR,276
fl:ma_ln:smith-147,Mark A. Smith,CA,274
fl:ma_ln:vanswieten-1,Martinus Nicolaas Gerardus Van Swieten,NL,245
fl:ga_ln:danziger-1,Gavriel Danziger,IL,211
fl:re_ln:holtkamp-1,"Reinhold Holtkamp, Sr.",DE,210
fl:mi_ln:hanes-1,Mitchell E. Hanes,US,208
fl:ja_ln:egger-3,Janet N. Egger,US,206
fl:ar_ln:koot-1,Arjan Koot,NL,200
fl:ke_ln:zary-1,Keith W. Zary,US,200
