country,country_rank,inventor_name,patent_count
AD,1,Bruno DeLean,3
AD,2,Edward J. Tieleman,1
AD,2,Viktor Lvovich Limonov,1
AE,1,Ahmad Saleh,5
AE,2,Paul Bernard Lee,4
AE,3,Baker Mohammad,3
AE,3,Simon Leiper,3
AE,5,Sohmyung Ha,2
AE,5,Victor Harris,2
AE,5,Alberto Bauer,2
AE,5,Arafat Jamil Al-Dweik,2
AE,5,Omar Ali,2
AE,5,Mohammed Ismail Elnaggar,2
AE,5,Hani Hasan Mustafa Saleh,2
AE,5,Mahmoud F. Y. Al Ahmad,2
AF,1,Tomas Mecklin,1
AM,1,Avetik Markosyan,3
AM,2,Arnak Poghosyan,2
AM,2,Ashot Nshan Harutyunyan,2
AM,2,Naira Movses Grigoryan,2
AM,5,Albert Manukyan,1
AM,5,Armen Poghosyan,1
AM,5,Levon Hovhannisyan,1
AM,5,Roza Madoyan,1
AM,5,HAYK BAGHDASARYAN,1
AM,5,Hakob Sargsyan,1
AR,1,Angel A. Gargiulo,9
AR,2,Nicolas Catena,5
AR,2,"Jose A. Navia, Sr.",5
AR,4,Mario Rafael Hueda,3
AR,4,Hugo Santiago Carrer,3
AR,4,Diego Ernesto Crivelli,3
AR,4,Rolando Aníbal Uría,3
AT,1,Wolfgang Kirmann,16
AT,2,Dirk Hammerschmidt,13
AT,3,Udo Ausserlechner,10
AT,4,Francisco Javier Santos Rodriguez,8
AT,4,Andreas Wiesbauer,8
AT,4,Ralf Siemieniec,8
AU,1,Andrew Bernuetz,101
AU,2,Graham Noel Brown,81
AU,3,Ruijun Li,64
AU,4,Todd Anthony Layt,45
AU,5,Vincent David Andrew Mazzardis,33
AZ,1,Azar Sadygov,1
BA,1,Izudin Dzafic,1
BD,1,Haseena Khan,1
BD,1,S Md Jashimuddin Chisty,1
BD,1,Mahboob Zaman,1
BD,1,Muhammad S. Azam,1
BD,1,Mohammed S. Haque,1
BD,1,Mohammed S. Islam,1
BD,1,Niaz Mahmood,1
BD,1,Mohammad Tofajjal Hossain,1
BD,1,Mohammad Shabbir Hossain,1
BD,1,Nusrat Rahman,1
BE,1,Dirk Pieters,170
BE,2,Elien Sofie Pieters,42
BE,3,Luc Remi Johan Pieters,33
BE,4,Febe Flore,21
BE,5,Daniel Cornelis,17
BG,1,Luben Hristov,4
