year,patents_filed,cumulative_total
1976,70941,70941.0
1977,69820,140761.0
1978,70586,211347.0
1979,52484,263831.0
1980,66212,330043.0
1981,71112,401155.0
1982,63292,464447.0
1983,62019,526466.0
1984,72689,599155.0
1985,77276,676431.0
1986,77050,753481.0
1987,89591,843072.0
1988,84449,927521.0
1989,102719,1030240.0
1990,99275,1129515.0
1991,106891,1236406.0
1992,107540,1343946.0
1993,109933,1453879.0
1994,113723,1567602.0
1995,113954,1681556.0
1996,121811,1803367.0
1997,124181,1927548.0
1998,163265,2090813.0
1999,169252,2260065.0
2000,176192,2436257.0
2001,184172,2620429.0
2002,184494,2804923.0
2003,187104,2992027.0
2004,181413,3173440.0
2005,157829,3331269.0
2006,196489,3527758.0
2007,182978,3710736.0
2008,185260,3895996.0
2009,192052,4088048.0
2010,244599,4332647.0
2011,248101,4580748.0
2012,277285,4858033.0
2013,303658,5161691.0
2014,327014,5488705.0
2015,326969,5815674.0
2016,334674,6150348.0
2017,352587,6502935.0
2018,341104,6844039.0
2019,392618,7236657.0
2020,390572,7627229.0
2021,363829,7991058.0
2022,360417,8351475.0
2023,350093,8701568.0
2024,373852,9075420.0
2025,378741,9454161.0
